scrapedURL,concactURL,Price,nestedAddress,totalAddress,bed,bath,sqFeet,imageURL,latitude,longitude,outputAddress,,original URL,http://calgary.craigslist.ca/search/apa/
/apa/4898773058.html,http://calgary.craigslist.ca/apa/4898773058.html,2900,8710 Horton Road SW,"8710 Horton Road SW, Calgary, Alberta, Canada",2,2,#N/A,http://images.craigslist.org/00q0q_gK9QXDrlhcI_600x450.jpg,50.975899,-114.073514,"8710 Horton Road Southwest, Calgary, AB T2V 0P7, Canada",,,
/apa/4898729886.html,http://calgary.craigslist.ca/apa/4898729886.html,2400,8710 HORTON ROAD SW,"8710 HORTON ROAD SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00K0K_1dMxXtKteoc_600x450.jpg,50.975899,-114.073514,"8710 Horton Road Southwest, Calgary, AB T2V 0P7, Canada",,,
/apa/4880213474.html,http://calgary.craigslist.ca/apa/4880213474.html,2390,143 Cimarron Grove Circle,"143 Cimarron Grove Circle, Calgary, Alberta, Canada",3,2.5,#N/A,http://images.craigslist.org/00V0V_ePUpQoYBQ0_600x450.jpg,51.0344,-114.15519,"Grove Hill Road Southwest, Calgary, AB T3E, Canada",,,
/apa/4880021467.html,http://calgary.craigslist.ca/apa/4880021467.html,1690,#317 - 10120 Brookpark Blvd SW,"#317 - 10120 Brookpark Blvd SW, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/01313_jqt5myZQxaY_600x450.jpg,50.960788,-114.109312,"10120 Brookpark Boulevard Southwest #317, Calgary, AB T2W 3G3, Canada",,,
/apa/4877485526.html,http://calgary.craigslist.ca/apa/4877485526.html,1900,738-3 AVE SW,"738-3 AVE SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00V0V_hcCP7nPvXqW_600x450.jpg,51.050855,-114.077663,"738 3 Avenue Southwest, Calgary, AB T2P 0G7, Canada",,,
/apa/4877476448.html,http://calgary.craigslist.ca/apa/4877476448.html,2900,36 Elgin Meadow Manor SE,"36 Elgin Meadow Manor SE, Calgary, Alberta, Canada",3,2,#N/A,http://images.craigslist.org/00606_iLrp7PynlAn_600x450.jpg,50.9073,-113.956413,"36 Elgin Meadows Manor Southeast, Calgary, AB T2Z, Canada",,,
/apa/4898573988.html,http://calgary.craigslist.ca/apa/4898573988.html,3200,1730- 5 Street SW,"1730- 5 Street SW, Calgary, Alberta, Canada",2,2,#N/A,http://images.craigslist.org/00Z0Z_gCw2pjK5A2o_600x450.jpg,51.003006,-114.07648,"1730 5 Street Southwest, Calgary, AB T2V 4Z9, Canada",,,
/apa/4898553241.html,http://calgary.craigslist.ca/apa/4898553241.html,1450,1711 - 25th Avenue SW,"1711 - 25th Avenue SW, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00x0x_jXvxh24FrQj_600x450.jpg,51.031325,-114.100193,"1711 25 Avenue Southwest, Calgary, AB T2T, Canada",,,
/apa/4898458262.html,http://calgary.craigslist.ca/apa/4898458262.html,1000,2415 23 Street Northwest,"2415 23 Street Northwest, Calgary, Alberta, Canada",3,1,#N/A,http://images.craigslist.org/00V0V_4Z6DXO7jzIK_600x450.jpg,51.072345,-114.115037,"2415 23 Street Northwest, Calgary, AB T2M 3Y3, Canada",,,
/apa/4898445591.html,http://calgary.craigslist.ca/apa/4898445591.html,2500,8880 Horton Road SW,"8880 Horton Road SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00f0f_1hsXHJkGJMH_600x450.jpg,50.974481,-114.074113,"8880 Horton Road Southwest, Calgary, AB T2V 2X4, Canada",,,
/apa/4898377170.html,http://calgary.craigslist.ca/apa/4898377170.html,1250,1711 - 25th Avenue SW,"1711 - 25th Avenue SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00v0v_hKu1CNfjded_600x450.jpg,51.031325,-114.100193,"1711 25 Avenue Southwest, Calgary, AB T2T, Canada",,,
/apa/4898290294.html,http://calgary.craigslist.ca/apa/4898290294.html,1775,"618-5 Ave, SW","618-5 Ave, SW, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00O0O_37YKj6heHzM_600x450.jpg,51.048697,-114.073809,"618 5 Avenue Southwest, Calgary, AB T2P 3S2, Canada",,,
/apa/4862849053.html,http://calgary.craigslist.ca/apa/4862849053.html,925,St Andrew Heights,"St Andrew Heights, Calgary, Alberta, Canada",1,1,#N/A,#N/A,51.065012,-114.126257,"St. Andrews Heights, Calgary, AB, Canada",,,
